Year.id,Year.display-label,Sex.id,Sex.display-label,Hisp.id,Hisp.display-label,GEO.id,GEO.id2,GEO.display-label,totpop,wa,ba,ia,aa,na,tom
est72010,1-Jul-10,totsex,Both Sexes,tothisp,Total,0500000US06101,6101,"Sutter County, California",94806,71757,2211,2148,14509,375,3806
est72011,1-Jul-11,female,Female,hisp,Hispanic,0500000US06101,6101,"Sutter County, California",13406,11673,242,606,311,52,522
est72011,1-Jul-11,female,Female,nhisp,Not Hispanic,0500000US06101,6101,"Sutter County, California",34291,24319,842,494,7095,156,1385
est72011,1-Jul-11,female,Female,tothisp,Total,0500000US06101,6101,"Sutter County, California",47697,35992,1084,1100,7406,208,1907
est72011,1-Jul-11,male,Male,hisp,Hispanic,0500000US06101,6101,"Sutter County, California",14121,12460,219,613,285,53,491
est72011,1-Jul-11,male,Male,nhisp,Not Hispanic,0500000US06101,6101,"Sutter County, California",32796,22825,905,442,7059,133,1432
est72011,1-Jul-11,male,Male,tothisp,Total,0500000US06101,6101,"Sutter County, California",46917,35285,1124,1055,7344,186,1923
est72011,1-Jul-11,totsex,Both Sexes,hisp,Hispanic,0500000US06101,6101,"Sutter County, California",27527,24133,461,1219,596,105,1013
est72011,1-Jul-11,totsex,Both Sexes,nhisp,Not Hispanic,0500000US06101,6101,"Sutter County, California",67087,47144,1747,936,14154,289,2817
est72011,1-Jul-11,totsex,Both Sexes,tothisp,Total,0500000US06101,6101,"Sutter County, California",94614,71277,2208,2155,14750,394,3830
est72012,1-Jul-12,female,Female,hisp,Hispanic,0500000US06101,6101,"Sutter County, California",13491,11772,237,606,303,51,522
est72012,1-Jul-12,female,Female,nhisp,Not Hispanic,0500000US06101,6101,"Sutter County, California",34003,23941,811,507,7205,149,1390
est72012,1-Jul-12,female,Female,tothisp,Total,0500000US06101,6101,"Sutter County, California",47494,35713,1048,1113,7508,200,1912
est72012,1-Jul-12,male,Male,hisp,Hispanic,0500000US06101,6101,"Sutter County, California",14228,12562,244,584,295,56,487
